id,uri,description
ckm,https://medium.com/cryptokitties/understanding-the-cryptokitties-marketplace-f0a6f32ac090
ck1w,https://kittyhelper.co/sales-history/?period=7D&#038;sort=1
di,https://www.cryptokitties.co/search?include=sale&#038;search=mewtation:diamond
lola,https://opensea.io/assets/0xd0c402bcbcb5e70157635c41b2810b42fe592bb0/8
17,https://www.cryptokitties.co/kitty/1926785
16,https://www.cryptokitties.co/search?search=special:catterina
catterina,https://niftygateway.com/marketplace?page=1&#038;collection=0x06012c8cf97bead5deae237070f9587f8e7a266d&#038;type=1
15,https://discord.gg/cryptokitties
koshkat,https://www.cryptokitties.co/kitty/222
14,https://niftygateway.com/itemdetail/primary/0x06012c8cf97bead5deae237070f9587f8e7a266d/2
13,https://www.cryptokitties.co/search?include=sale,other,sire&#038;search=specialedition:catterina
momo,https://medium.com/@CryptoKitties/the-cryptokitties-artist-series-6c7c3c7c35e0
12,https://forms.gle/CgZ5HWpvzu3UWujt6
11,https://forms.gle/7ZjKo9bUmJNqgicF7
10,https://www.cryptokitties.co/search?search=fancy:bodhi
z,https://www.cryptokitties.co/search?include=sale&#038;search=fancy:cai
y,https://www.twitch.tv/rudem00se
x,https://guide.cryptokitties.co/guide/types-of-cats/fancy-cats
w,https://www.cryptokitties.co/blog/post/introducing-kitty-tricks
v,https://www.cryptokitties.co/search?search=fancy:cai
ckroadmap,https://trello.com/b/EOw3cnqf/cryptokitties-roadmap
t,https://www.cryptokitties.co/events
s,https://www.meetdapper.com/docs/meet?utm_campaign=developers&#038;utm_source=twitter
r,https://play.google.com/store/apps/details?id=com.dapperlabs.dapper&#038;hl=en_CA&#038;utm_campaign=android&#038;utm_source=twitter
dremail,https://www.cryptokitties.co/?utm_source=DappRadar&#038;utm_medium=partneremail&#038;utm_campaign=dr_email
q,https://www.meetdapper.com/docs/meet?utm_campaign=developer&#038;utm_source=twitter
p,https://support.dapperlabs.com/hc/en-us/articles/360034620473-How-to-get-ETH?utm_campaign=social&#038;utm_source=
fdp,https://www.notion.so/Flow-Developer-Preview-6d5d696c8d584398a2a025185945aa5b
o,https://www.cryptokitties.co/catalogue/latest-cattributes/3
n,https://www.cryptokitties.co/search?include=sire&#038;search=gauntlet
m,https://www.cryptokitties.co/search?search=drift
l,https://www.cryptokitties.co/search?include=sale&#038;search=wyrm
k,https://www.cryptokitties.co/search?include=sale,sire&#038;search=fancy:draco
j,https://support.dapperlabs.com/hc/en-us/articles/360033780634-Using-Dapper-with-other-wallets-installed?utm_campaign=support&#038;utm_source=twitter&#038;utm_medium=social
aaa,https://forms.gle/Mo9PAc6oFSpw1yCh7
i,https://www.cheezewizards.com/parties/2be8a6a8-0a07-409d-8dcc-a53f66083db8?utm_source=dlive&#038;utm_campaign=dlivexcw
h,https://www.cheezewizards.com/parties/1fe1f7c5-416b-40c5-be7c-bd0c18eecc0b?utm_source=dlive&#038;utm_campaign=dlivexcw
g,https://www.cheezewizards.com/parties/16bfdac6-b824-4cdc-a19b-40feb2400522?utm_source=dlive&#038;utm_campaign=dlivexcw
f,https://www.cheezewizards.com/parties/16a1e34a-c21b-4b78-bf3e-f20a4dad3b07?utm_source=dlive&#038;utm_campaign=dlivexcw
e,https://www.cheezewizards.com/parties/0c2e7c75-f7b0-4316-94dc-220e9a4b1bae?utm_source=dlive&#038;utm_campaign=dlivexcw
